indicatorId,geoUnit,year,type,subtype,value
PRYA.12MO.AG15T24.F,ARM,2012,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2013,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2014,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2015,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2016,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2017,Source,Data sources,"UIS based on UIS based on ARM - HIES - Households Living Conditions Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2018,Source,Data sources,"UIS based on UIS based on ARM - LFS - Household Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2019,Source,Data sources,"UIS based on UIS based on ARM - LFS - Household Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2020,Source,Data sources,"UIS based on UIS based on ARM - LFS - Household Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2021,Source,Data sources,"UIS based on UIS based on ARM - LFS - Household Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2022,Source,Data sources,"UIS based on UIS based on ARM - LFS - Household Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ARM,2023,Source,Data sources,"UIS based on UIS based on ARM - LFS - Household Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: 75 years old"
PRYA.12MO.AG15T24.F,ATG,2018,Source,Data sources,"UIS based on UIS based on ATG - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,ATG,2023,Source,Data sources,"UIS based on UIS based on ATG - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUS,2018,Source,Data sources,"UIS based on UIS based on AUS - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUS,2019,Source,Data sources,"UIS based on UIS based on AUS - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUS,2020,Source,Data sources,"UIS based on UIS based on AUS - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUS,2021,Source,Data sources,"UIS based on UIS based on AUS - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUS,2022,Source,Data sources,"UIS based on UIS based on AUS - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
PRYA.12MO.AG15T24.F,AUS,2023,Source,Data sources,"UIS based on UIS based on AUS - LFS - Labour Force Survey; Repository: ILO-STATISTICS - Micro data processing | Age coverage - minimum age: 15 years old | Age coverage - maximum age: None"
