region,region_type,year,access,pcnt
Australia and New Zealand,SDG,2018,safe,NA
Australia and New Zealand,SDG,2018,basic,NA
Australia and New Zealand,SDG,2018,limited,0
Australia and New Zealand,SDG,2018,unimproved,0.03
Australia and New Zealand,SDG,2018,surface,0
Australia and New Zealand,SDG,2019,safe,NA
Australia and New Zealand,SDG,2019,basic,NA
Australia and New Zealand,SDG,2019,limited,0
Australia and New Zealand,SDG,2019,unimproved,0.03
Australia and New Zealand,SDG,2019,surface,0
Australia and New Zealand,SDG,2020,safe,NA
Australia and New Zealand,SDG,2020,basic,NA
Australia and New Zealand,SDG,2020,limited,0
Australia and New Zealand,SDG,2020,unimproved,0.03
Australia and New Zealand,SDG,2020,surface,0
Australia and New Zealand,SDG,2021,safe,NA
Australia and New Zealand,SDG,2021,basic,NA
Australia and New Zealand,SDG,2021,limited,0
Australia and New Zealand,SDG,2021,unimproved,0.03
Australia and New Zealand,SDG,2021,surface,0
Australia and New Zealand,SDG,2022,safe,NA
Australia and New Zealand,SDG,2022,basic,NA
Australia and New Zealand,SDG,2022,limited,0
Australia and New Zealand,SDG,2022,unimproved,0.03
Australia and New Zealand,SDG,2022,surface,0
Central and Southern Asia,SDG,2000,safe,44.73
Central and Southern Asia,SDG,2000,basic,37.3
Central and Southern Asia,SDG,2000,limited,3.57
Central and Southern Asia,SDG,2000,unimproved,11.98
Central and Southern Asia,SDG,2000,surface,2.42
Central and Southern Asia,SDG,2001,safe,45.62
Central and Southern Asia,SDG,2001,basic,36.92
Central and Southern Asia,SDG,2001,limited,3.59
Central and Southern Asia,SDG,2001,unimproved,11.51
Central and Southern Asia,SDG,2001,surface,2.36
Central and Southern Asia,SDG,2002,safe,46.49
Central and Southern Asia,SDG,2002,basic,36.57
Central and Southern Asia,SDG,2002,limited,3.6
Central and Southern Asia,SDG,2002,unimproved,11.05
Central and Southern Asia,SDG,2002,surface,2.29
Central and Southern Asia,SDG,2003,safe,47.36
Central and Southern Asia,SDG,2003,basic,36.22
Central and Southern Asia,SDG,2003,limited,3.6
Central and Southern Asia,SDG,2003,unimproved,10.6
Central and Southern Asia,SDG,2003,surface,2.23
Central and Southern Asia,SDG,2004,safe,48.27
Central and Southern Asia,SDG,2004,basic,35.84
Central and Southern Asia,SDG,2004,limited,3.61
Central and Southern Asia,SDG,2004,unimproved,10.13
Central and Southern Asia,SDG,2004,surface,2.15
Central and Southern Asia,SDG,2005,safe,49.29
Central and Southern Asia,SDG,2005,basic,35.3
Central and Southern Asia,SDG,2005,limited,3.67
Central and Southern Asia,SDG,2005,unimproved,9.67
Central and Southern Asia,SDG,2005,surface,2.07
Central and Southern Asia,SDG,2006,safe,50.31
Central and Southern Asia,SDG,2006,basic,34.81
Central and Southern Asia,SDG,2006,limited,3.68
Central and Southern Asia,SDG,2006,unimproved,9.21
Central and Southern Asia,SDG,2006,surface,2
Central and Southern Asia,SDG,2007,safe,51.34
Central and Southern Asia,SDG,2007,basic,34.3
Central and Southern Asia,SDG,2007,limited,3.69
Central and Southern Asia,SDG,2007,unimproved,8.74
Central and Southern Asia,SDG,2007,surface,1.92
Central and Southern Asia,SDG,2008,safe,52.31
Central and Southern Asia,SDG,2008,basic,33.88
Central and Southern Asia,SDG,2008,limited,3.7
Central and Southern Asia,SDG,2008,unimproved,8.28
Central and Southern Asia,SDG,2008,surface,1.84
Central and Southern Asia,SDG,2009,safe,53.42
Central and Southern Asia,SDG,2009,basic,33.29
Central and Southern Asia,SDG,2009,limited,3.71
Central and Southern Asia,SDG,2009,unimproved,7.83
Central and Southern Asia,SDG,2009,surface,1.76
Central and Southern Asia,SDG,2010,safe,54.46
Central and Southern Asia,SDG,2010,basic,32.77
Central and Southern Asia,SDG,2010,limited,3.71
Central and Southern Asia,SDG,2010,unimproved,7.37
Central and Southern Asia,SDG,2010,surface,1.69
Central and Southern Asia,SDG,2011,safe,55.49
Central and Southern Asia,SDG,2011,basic,32.26
Central and Southern Asia,SDG,2011,limited,3.72
Central and Southern Asia,SDG,2011,unimproved,6.92
Central and Southern Asia,SDG,2011,surface,1.61
Central and Southern Asia,SDG,2012,safe,56.61
Central and Southern Asia,SDG,2012,basic,31.66
Central and Southern Asia,SDG,2012,limited,3.72
Central and Southern Asia,SDG,2012,unimproved,6.48
Central and Southern Asia,SDG,2012,surface,1.54
Central and Southern Asia,SDG,2013,safe,57.73
Central and Southern Asia,SDG,2013,basic,31.05
Central and Southern Asia,SDG,2013,limited,3.73
Central and Southern Asia,SDG,2013,unimproved,6.03
Central and Southern Asia,SDG,2013,surface,1.46
Central and Southern Asia,SDG,2014,safe,58.87
Central and Southern Asia,SDG,2014,basic,30.43
Central and Southern Asia,SDG,2014,limited,3.73
Central and Southern Asia,SDG,2014,unimproved,5.59
Central and Southern Asia,SDG,2014,surface,1.39
Central and Southern Asia,SDG,2015,safe,60.03
Central and Southern Asia,SDG,2015,basic,29.79
Central and Southern Asia,SDG,2015,limited,3.73
Central and Southern Asia,SDG,2015,unimproved,5.15
Central and Southern Asia,SDG,2015,surface,1.31
Central and Southern Asia,SDG,2016,safe,61.17
Central and Southern Asia,SDG,2016,basic,29.16
Central and Southern Asia,SDG,2016,limited,3.73
Central and Southern Asia,SDG,2016,unimproved,4.71
Central and Southern Asia,SDG,2016,surface,1.23
Central and Southern Asia,SDG,2017,safe,62.3
Central and Southern Asia,SDG,2017,basic,28.55
Central and Southern Asia,SDG,2017,limited,3.73
Central and Southern Asia,SDG,2017,unimproved,4.27
Central and Southern Asia,SDG,2017,surface,1.15
Central and Southern Asia,SDG,2018,safe,63.41
Central and Southern Asia,SDG,2018,basic,27.95
Central and Southern Asia,SDG,2018,limited,3.72
Central and Southern Asia,SDG,2018,unimproved,3.84
Central and Southern Asia,SDG,2018,surface,1.08
Central and Southern Asia,SDG,2019,safe,64.52
Central and Southern Asia,SDG,2019,basic,27.35
Central and Southern Asia,SDG,2019,limited,3.72
Central and Southern Asia,SDG,2019,unimproved,3.41
Central and Southern Asia,SDG,2019,surface,1.01
Central and Southern Asia,SDG,2020,safe,65.6
Central and Southern Asia,SDG,2020,basic,26.76
Central and Southern Asia,SDG,2020,limited,3.71
Central and Southern Asia,SDG,2020,unimproved,2.99
Central and Southern Asia,SDG,2020,surface,0.94
Central and Southern Asia,SDG,2021,safe,66.68
Central and Southern Asia,SDG,2021,basic,26.18
Central and Southern Asia,SDG,2021,limited,3.71
Central and Southern Asia,SDG,2021,unimproved,2.57
Central and Southern Asia,SDG,2021,surface,0.87
Central and Southern Asia,SDG,2022,safe,67.52
Central and Southern Asia,SDG,2022,basic,25.79
Central and Southern Asia,SDG,2022,limited,3.69
Central and Southern Asia,SDG,2022,unimproved,2.16
Central and Southern Asia,SDG,2022,surface,0.84
Eastern Mediterranean,WHO,2000,safe,56.99
Eastern Mediterranean,WHO,2000,basic,23.96
Eastern Mediterranean,WHO,2000,limited,4.13
Eastern Mediterranean,WHO,2000,unimproved,10.11
Eastern Mediterranean,WHO,2000,surface,4.8
Eastern Mediterranean,WHO,2001,safe,57.1
Eastern Mediterranean,WHO,2001,basic,24.15
Eastern Mediterranean,WHO,2001,limited,4.16
Eastern Mediterranean,WHO,2001,unimproved,9.9
Eastern Mediterranean,WHO,2001,surface,4.69
Eastern Mediterranean,WHO,2002,safe,57.15
Eastern Mediterranean,WHO,2002,basic,24.36
Eastern Mediterranean,WHO,2002,limited,4.19
Eastern Mediterranean,WHO,2002,unimproved,9.72
Eastern Mediterranean,WHO,2002,surface,4.59
Eastern Mediterranean,WHO,2003,safe,57.23
Eastern Mediterranean,WHO,2003,basic,24.55
Eastern Mediterranean,WHO,2003,limited,4.24
Eastern Mediterranean,WHO,2003,unimproved,9.49
Eastern Mediterranean,WHO,2003,surface,4.49
Eastern Mediterranean,WHO,2004,safe,57.41
Eastern Mediterranean,WHO,2004,basic,24.73
Eastern Mediterranean,WHO,2004,limited,4.3
Eastern Mediterranean,WHO,2004,unimproved,9.2
Eastern Mediterranean,WHO,2004,surface,4.35
Eastern Mediterranean,WHO,2005,safe,57.76
Eastern Mediterranean,WHO,2005,basic,24.65
Eastern Mediterranean,WHO,2005,limited,4.56
Eastern Mediterranean,WHO,2005,unimproved,8.87
Eastern Mediterranean,WHO,2005,surface,4.16
Eastern Mediterranean,WHO,2006,safe,58.17
Eastern Mediterranean,WHO,2006,basic,24.67
Eastern Mediterranean,WHO,2006,limited,4.68
Eastern Mediterranean,WHO,2006,unimproved,8.53
Eastern Mediterranean,WHO,2006,surface,3.96
Eastern Mediterranean,WHO,2007,safe,58.62
Eastern Mediterranean,WHO,2007,basic,24.68
Eastern Mediterranean,WHO,2007,limited,4.78
Eastern Mediterranean,WHO,2007,unimproved,8.17
Eastern Mediterranean,WHO,2007,surface,3.75
Eastern Mediterranean,WHO,2008,safe,59.05
Eastern Mediterranean,WHO,2008,basic,24.74
Eastern Mediterranean,WHO,2008,limited,4.87
Eastern Mediterranean,WHO,2008,unimproved,7.8
Eastern Mediterranean,WHO,2008,surface,3.53
Eastern Mediterranean,WHO,2009,safe,59.62
Eastern Mediterranean,WHO,2009,basic,24.63
Eastern Mediterranean,WHO,2009,limited,4.96
Eastern Mediterranean,WHO,2009,unimproved,7.46
Eastern Mediterranean,WHO,2009,surface,3.34
Eastern Mediterranean,WHO,2010,safe,60.19
Eastern Mediterranean,WHO,2010,basic,24.52
Eastern Mediterranean,WHO,2010,limited,5.05
Eastern Mediterranean,WHO,2010,unimproved,7.11
Eastern Mediterranean,WHO,2010,surface,3.14
Eastern Mediterranean,WHO,2011,safe,60.72
Eastern Mediterranean,WHO,2011,basic,24.43
Eastern Mediterranean,WHO,2011,limited,5.14
Eastern Mediterranean,WHO,2011,unimproved,6.76
Eastern Mediterranean,WHO,2011,surface,2.95
Eastern Mediterranean,WHO,2012,safe,61.24
Eastern Mediterranean,WHO,2012,basic,24.34
Eastern Mediterranean,WHO,2012,limited,5.22
Eastern Mediterranean,WHO,2012,unimproved,6.44
Eastern Mediterranean,WHO,2012,surface,2.76
Eastern Mediterranean,WHO,2013,safe,61.77
Eastern Mediterranean,WHO,2013,basic,24.24
Eastern Mediterranean,WHO,2013,limited,5.3
Eastern Mediterranean,WHO,2013,unimproved,6.11
Eastern Mediterranean,WHO,2013,surface,2.58
Eastern Mediterranean,WHO,2014,safe,62.35
Eastern Mediterranean,WHO,2014,basic,24.1
Eastern Mediterranean,WHO,2014,limited,5.38
Eastern Mediterranean,WHO,2014,unimproved,5.78
Eastern Mediterranean,WHO,2014,surface,2.39
Eastern Mediterranean,WHO,2015,safe,63.02
Eastern Mediterranean,WHO,2015,basic,24.24
Eastern Mediterranean,WHO,2015,limited,5.26
Eastern Mediterranean,WHO,2015,unimproved,5.33
Eastern Mediterranean,WHO,2015,surface,2.15
Eastern Mediterranean,WHO,2016,safe,63.68
Eastern Mediterranean,WHO,2016,basic,24
Eastern Mediterranean,WHO,2016,limited,5.34
Eastern Mediterranean,WHO,2016,unimproved,5.01
Eastern Mediterranean,WHO,2016,surface,1.97
Eastern Mediterranean,WHO,2017,safe,64.3
Eastern Mediterranean,WHO,2017,basic,23.79
Eastern Mediterranean,WHO,2017,limited,5.43
